PCS_ESE;label;Effectifs en EQTP;Salaire moyen en EQTP
342G;Ingénieurs d'étude et de recherche de la recherche publique;30930;3100
525D;Agents de service hospitaliers;127590;1800
522A;Agents de constatation ou de recouvrement des Impôts, du Trésor, des Douanes;4780;2400
422C;Maîtres auxiliaires et professeurs contractuels de l'enseignement secondaire;29010;2000
525B;Agents de service des autres établissements d'enseignement;80740;1800
632K;Ouvriers qualifiés d'entretien général des bâtiments;85620;1900
434G;Educateurs de jeunes enfants;14840;2300
342F;Directeurs et chargés de recherche de la recherche publique;19750;3800
525C;Agents de service de la fonction publique (sauf écoles, hôpitaux);16810;1900
422A;Professeurs d'enseignement général des collèges;35540;2300
422D;Conseillers principaux d'éducation;12000;2700
431A;Cadres infirmiers et assimilés;36240;3200
452A;Inspecteurs et officiers de police;6720;3300
432B;Masseurs-kinésithérapeutes rééducateurs, salariés;6330;2500
523C;Adjoints administratifs des collectivités locales;185660;1900
471A;Techniciens d'étude et de conseil en agriculture, eaux et forêt;5060;2700
343A;Psychologues spécialistes de l'orientation scolaire et professionnelle;10450;2600
342D;Personnel enseignant temporaire de l'enseignement supérieur;5340;1800
526C;Auxiliaires de puériculture;48010;1900
333A;Magistrats;23470;3600
628F;Agents qualifiés de laboratoire (sauf chimie, santé);23570;1800
524A;Agents administratifs de la fonction publique (y c. enseignement);3840;1900
341B;Chefs d'établissement de l'enseignement secondaire et inspecteurs;21090;4100
434D;Educateurs spécialisés;50990;2400
526A;Aides-soignants;252050;2200
431D;Infirmiers spécialisés (autres qu'infirmiers psychiatriques et puéricultrices);14730;3500
524C;Agents administratifs des collectivités locales;199330;1600
332A;Ingénieurs de l'Etat (y.c. ingénieurs militaires) et assimilés;26130;3900
342C;Professeurs agrégés et certifiés en fonction dans l'enseignement supérieur;15360;3200
531C;Surveillants de l'administration pénitentiaire;28230;2500
533A;Pompiers (y.c. pompiers militaires);33000;2600
451E;Autres personnels administratifs de catégorie B de l'Etat (hors Enseignement, Patrimoine, Impôts, Trésor, Douanes);82060;2400
431F;Infirmiers en soins généraux, salariés;236630;2600
331A;Personnels de direction de la fonction publique (Etat, collectivités locales, hôpitaux);15050;6500
342B;Professeurs et maîtres de conférences;61100;3700
344A;Médecins hospitaliers sans activité libérale;85910;6000
472D;Techniciens des travaux publics de l'Etat et des collectivités locales;65700;2500
333E;Autres personnels administratifs de catégorie A de l'Etat (hors Enseignement, Patrimoine, Impôts, Trésor, Douanes);89100;3500
311D;Psychologues, psychanalystes, psychothérapeutes (non médecins);13420;2500
451G;Professions intermédiaires administratives des collectivités locales;96360;2300
433A;Techniciens médicaux;36470;2600
431C;Puéricultrices;16630;2800
621F;Ouvriers qualifiés des travaux publics (salariés de l'Etat et des collectivités locales);653020;1800
524B;Agents administratifs de l'Etat et assimilés (sauf Poste, France Télécom);45330;2200
432D;Autres spécialistes de la rééducation, salariés;12010;2300
479A;Techniciens des laboratoires de recherche publique ou de l'enseignement;26180;2300
531B;Agents des polices municipales;21840;2400
332B;Ingénieurs des collectivités locales et des hôpitaux;47450;3600
422B;Professeurs de lycée professionnel;68100;2900
434B;Assistants de service social;12080;2400
451H;Professions intermédiaires administratives des hôpitaux;55340;2300
425A;Sous-bibliothécaires, cadres intermédiaires du patrimoine;12410;2100
523D;Adjoints administratifs des hôpitaux publics;61430;1800
333B;Inspecteurs et autres personnels de catégorie A des Impôts, du Trésor et des Douanes;31440;3900
333F;Personnels administratifs de catégorie A des collectivités locales et hôpitaux publics (hors Enseignement, Patrimoine);106030;3500
351A;Bibliothécaires, archivistes, conservateurs et autres cadres du patrimoine;10070;3100
342H;Allocataires de la recherche publique;18730;1900
525A;Agents de service des établissements primaires;49440;1700
341A;Professeurs agrégés et certifiés de l'enseignement secondaire;359610;2900
531A;Agents de police de l'Etat;113680;2600
421B;Professeurs des écoles;370930;2500
431E;Sages-femmes salariées;12880;3100
422E;Surveillants et aides-éducateurs des établissements d'enseignement;112650;1300
523B;Adjoints administratifs de l'Etat et assimilés (sauf Poste, France Télécom);132570;2000
451C;Contrôleurs des Impôts, du Trésor, des Douanes et assimilés;44500;2600
354G;Professeurs d'art (hors établissements scolaires);6940;2900